Game,Season,Date,Round,HomeTeam,AwayTeam,Winner,SeasonPointsBy,SeasonPointsAgainst,SeasonPerformance,Ranking,PointsBy_Last_1,PointsAgainst_Last_1,Performance_Last_1,PointsBy_Last_2,PointsAgainst_Last_2,Performance_Last_2,PointsBy_Last_3,PointsAgainst_Last_3,Performance_Last_3,PointsBy_Last_4,PointsAgainst_Last_4,Performance_Last_4,PointsBy_Last_5,PointsAgainst_Last_5,Performance_Last_5
11753,2000,2000-04-01,R4,Footscray,Adelaide,Home,82.0,-4.0,4.0,2.0,41.0,-17.0,2.0,29.5,9.5,1.0,27.33333333333333,-1.3333333333333286,1.3333333333333333,27.33333333333333,-1.3333333333333286,1.3333333333333333,27.33333333333333,-1.3333333333333286,1.3333333333333333
11759,2000,2000-04-02,R4,Port Adelaide,Fremantle,Home,-77.0,82.0,-2.0,-1.0,6.0,17.0,0.0,-16.0,27.5,-1.0,-25.66666666666667,27.33333333333333,-0.6666666666666666,-25.66666666666667,27.33333333333333,-0.6666666666666666,-25.66666666666667,27.33333333333333,-0.6666666666666666
11757,2000,2000-04-02,R4,Richmond,St Kilda,Away,0.0,3.0,2.0,1.0,18.0,54.0,0.0,3.0,22.5,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666
11758,2000,2000-04-02,R4,Melbourne,Brisbane Lions,Home,-3.0,-32.0,0.0,0.0,11.0,16.0,0.0,8.5,13.0,0.0,-1.0,-10.666666666666671,0.0,-1.0,-10.666666666666671,0.0,-1.0,-10.666666666666671,0.0
11760,2000,2000-04-07,R5,Footscray,Collingwood,Away,-29.0,34.0,-2.0,-1.0,-8.0,-42.0,0.0,-13.5,-17.5,0.0,-6.666666666666671,4.0,-0.6666666666666667,-7.25,8.5,-0.5,-7.25,8.5,-0.5
11761,2000,2000-04-08,R5,Essendon,Carlton,Home,95.0,-155.0,4.0,2.0,78.0,-8.0,2.0,57.5,-40.0,2.0,30.333333333333343,-35.0,1.3333333333333335,23.75,-38.75,1.0,23.75,-38.75,1.0
11763,2000,2000-04-08,R5,Fremantle,Adelaide,Away,35.0,-105.0,4.0,2.0,15.0,-100.0,2.0,1.5,-43.5,1.0,12.0,-34.33333333333333,1.3333333333333333,8.75,-26.25,1.0,8.75,-26.25,1.0
11762,2000,2000-04-08,R5,Brisbane Lions,Melbourne,Home,-56.0,106.0,-2.0,-1.0,-59.0,74.0,-2.0,-35.0,29.0,-1.0,-25.333333333333343,16.0,-0.6666666666666666,-14.0,26.5,-0.5,-14.0,26.5,-0.5
11764,2000,2000-04-09,R5,Geelong,West Coast,Home,-49.0,28.0,2.0,1.0,-88.0,31.0,-2.0,-46.5,7.5,0.0,-8.0,10.666666666666671,0.6666666666666666,-12.25,7.0,0.5,-12.25,7.0,0.5
11766,2000,2000-04-09,R5,St Kilda,Sydney,Away,-53.0,164.0,-6.0,-3.0,-26.0,59.0,0.0,-18.0,30.5,-1.0,-6.333333333333329,43.33333333333333,-1.3333333333333333,-13.25,41.0,-1.5,-13.25,41.0,-1.5
